med_earn,geometry,city_name
27490,"list(c(-93.262566, -93.262546, -93.260029, -93.254967, -93.253712, -93.249901, -93.249931, -93.249947, -93.249951, -93.249939, -93.252502, -93.256317, -93.261383, -93.262672, -93.262566, 44.941367, 44.939556, 44.939548, 44.939548, 44.939548, 44.939548, 44.942928, 44.944752, 44.946562, 44.948368, 44.948364, 44.948359, 44.948358, 44.948357, 44.941367))",mpls
27023,"list(c(-93.249533, -93.247019, -93.245886, -93.24667, -93.245689, -93.239357, -93.236214, -93.233032, -93.233002, -93.232582, -93.233174, -93.242693, -93.247261, -93.249533, 44.966223, 44.962532, 44.96087, 44.960098, 44.959145, 44.959153, 44.959152, 44.95916, 44.962761, 44.963974, 44.964227, 44.964293, 44.965668, 44.966223))",mpls
31733,"list(c(-93.267593, -93.26754, -93.26754, -93.267555, -93.262512, -93.262474, -93.262475, -93.262527, -93.262546, -93.262566, -93.265121, -93.267654, -93.267593, 44.937775, 44.934158, 44.93055, 44.926937, 44.926943, 44.930544, 44.934148, 44.937761, 44.939556, 44.941367, 44.941372, 44.941383, 44.937775))",mpls
24792,"list(c(-93.277817, -93.275284, -93.272762, -93.269925, -93.269929, -93.269937, -93.272737, -93.274802, -93.276519, -93.277817, -93.277817, 44.962696, 44.962696, 44.962696, 44.962692, 44.965911, 44.966131, 44.966706, 44.966837, 44.966666, 44.966394, 44.962696))",mpls
30154,"list(c(-93.288033, -93.282959, -93.277863, -93.277847, -93.277846, -93.277817, -93.282982, -93.288002, -93.28801, -93.288017, -93.288033, -93.288033, 44.95731, 44.957325, 44.957336, 44.959114, 44.959202, 44.962696, 44.962704, 44.9627, 44.960918, 44.959118, 44.957329, 44.95731))",mpls
25747,"list(c(-93.30822, -93.308205, -93.300607, -93.299339, -93.294195, -93.294312, -93.294312, -93.296844, -93.300636, -93.303185, -93.308235, -93.30822, 45.009632, 45.006027, 45.005985, 45.005978, 45.005948, 45.009544, 45.013149, 45.013161, 45.013185, 45.013203, 45.013241, 45.009632))",mpls
64435,"list(c(-93.304576, -93.301437, -93.299683, -93.29818, -93.295639, -93.293083, -93.292725, -93.288624, -93.288363, -93.288095, -93.288082, -93.288055, -93.288071, -93.294403, -93.298005, -93.301385, -93.304154, -93.304527, -93.303253, -93.303292, -93.304576, 44.963076, 44.96088, 44.960934, 44.96093, 44.960922, 44.960918, 44.960918, 44.966286, 44.967141, 44.968903, 44.969917, 44.97493, 44.977359, 44.974056, 44.971496, 44.969878, 44.96945, 44.966423, 44.966423, 44.963284, 44.963076))",mpls
23682,"list(c(-93.297194, -93.287994, -93.287987, -93.294089, -93.297165, -93.297194, 44.991983, 44.991947, 44.999138, 44.999143, 44.999146, 44.991983))",mpls
17161,"list(c(-93.269962, -93.267658, -93.262558, -93.262558, -93.259628, -93.259674, -93.259662, -93.268479, -93.269302, -93.269929, -93.269925, -93.269962, 44.960915, 44.960903, 44.960918, 44.959118, 44.959126, 44.962719, 44.965834, 44.965548, 44.965759, 44.965911, 44.962692, 44.960915))",mpls
31944,"list(c(-93.263084, -93.260345, -93.260048, -93.260246, -93.257553, -93.256966, -93.253917, -93.247337, -93.24733, -93.247337, -93.247345, -93.263115, -93.263084, 45.013161, 45.013165, 45.006378, 45.005249, 45.005241, 45.007477, 45.007488, 45.007896, 45.008892, 45.013161, 45.016769, 45.016815, 45.013161))",mpls
47237,"list(c(-93.247368, -93.242271, -93.237175, -93.23716, -93.237152, -93.242249, -93.247337, -93.24733, -93.247337, -93.247368, 45.005928, 45.005955, 45.005981, 45.00959, 45.013195, 45.013176, 45.013161, 45.008892, 45.007896, 45.005928))",mpls
28606,"list(c(-93.30827, -93.308235, -93.303185, -93.300636, -93.296844, -93.296852, -93.296844, -93.298096, -93.303223, -93.308334, -93.30827, 45.018654, 45.013241, 45.013203, 45.013185, 45.013161, 45.018578, 45.023998, 45.024002, 45.024048, 45.02409, 45.018654))",mpls
50525,"list(c(-93.288315, -93.288292, -93.28186, -93.274629, -93.27454, -93.274568, -93.27536, -93.281815, -93.288284, -93.288315, -93.288315, 44.919567, 44.915939, 44.915989, 44.916047, 44.919663, 44.926896, 44.926888, 44.92685, 44.926807, 44.923183, 44.919567))",mpls
39975,"list(c(-93.242287, -93.242256, -93.242264, -93.232109, -93.228508, -93.229744, -93.230977, -93.232222, -93.233487, -93.238065, -93.242348, -93.242287, 44.941341, 44.937733, 44.934116, 44.93409, 44.934082, 44.935898, 44.937717, 44.939526, 44.941363, 44.948372, 44.948372, 44.941341))",mpls
35658,"list(c(-93.3184495897984, -93.318446, -93.3184523720711, -93.3184552216506, -93.313332, -93.308197, -93.308205, -93.308746, -93.311566, -93.312302, -93.315041, -93.318095, -93.318414, -93.3184355546011, -93.3184365376894, -93.3184495897984, 45.0010573804931, 45.001041, 44.9999945297378, 44.9989059263895, 44.998806, 44.998764, 45.003864, 45.004215, 45.006031, 45.006508, 45.009644, 45.0129, 45.012767, 45.0127928655616, 45.0060428657414, 45.0010573804931))",mpls
43950,"list(c(-93.275431, -93.270828, -93.267288, -93.260239, -93.260246, -93.263069, -93.26767, -93.26886, -93.274436, -93.274424, -93.275431, 44.998988, 44.998699, 44.998703, 44.998707, 45.005249, 45.005287, 45.005039, 45.006054, 45.005943, 45.00441, 44.998988))",mpls
31363,"list(c(-93.3141872545352, -93.314187, -93.304306, -93.300453, -93.299194, -93.288963, -93.2888543028537, -93.2991944024197, -93.3093872634534, -93.3141872545352, 45.0512397174043, 45.051239, 45.051182, 45.051144, 45.051136, 45.051128, 45.0511286001152, 45.051136963045, 45.0512335973345, 45.0512397174043))",mpls
63253,"list(c(-93.3288464764673, -93.325922, -93.323671, -93.318313, -93.311875, -93.310292, -93.307062, -93.305481, -93.305431, -93.305019, -93.305122, -93.302406, -93.301331, -93.303421, -93.303543, -93.301437, -93.304576, -93.303292, -93.303253, -93.304527, -93.304154, -93.30521, -93.316482, -93.324303, -93.324768, -93.326683, -93.327042, -93.328731, -93.328738, -93.32878, -93.3288366333508, -93.3288464764673, 44.9484830168925, 44.948497, 44.9484, 44.948358, 44.950482, 44.950605, 44.94942, 44.94849, 
44.949497, 44.950481, 44.951138, 44.952957, 44.955212, 44.956367, 44.957634, 44.96088, 44.963076, 44.963284, 44.966423, 44.966423, 44.96945, 44.969537, 44.966545, 44.965776, 44.961342, 44.960312, 44.959454, 44.959332, 44.958365, 44.952063, 44.9505830244846, 44.9484830168925))",mpls
43735,"list(c(-93.244108, -93.24297, -93.241227, -93.240868, -93.238065, -93.237305, -93.238909, -93.235153, -93.227028, -93.221878, -93.220383, -93.216675, -93.21276, -93.21494, -93.217211, -93.226944, -93.233032, -93.236214, -93.239357, -93.245689, -93.244108, 44.957422, 44.955548, 44.952448, 44.951977, 44.948372, 44.948372, 44.950636, 44.953552, 44.953461, 44.953228, 44.953271, 44.954025, 44.956101, 44.957361, 44.959212, 44.959183, 44.95916, 44.959152, 44.959153, 44.959145, 44.957422))",mpls
